question,option_a,option_b,option_c,option_d,correct_answer,difficulty,category
What is 8 * 9?,63,72,81,90,1,easy,Math
What is the largest continent?,Africa,Asia,Europe,Australia,1,easy,Geography
Who invented the light bulb?,Tesla,Edison,Bell,Franklin,1,medium,Technology
What is the chemical symbol for Oxygen?,O,O2,Ox,On,0,easy,Chemistry
How many legs does an ant have?,4,6,8,10,1,easy,Animals
What is the boiling point of water in Celsius?,90,95,100,105,2,easy,Science
Who wrote Hamlet?,Dickens,Shakespeare,Austen,Tolstoy,1,medium,Literature
What is the capital of England?,Manchester,London,Liverpool,Birmingham,1,easy,Geography
What year did World War I begin?,1912,1914,1916,1918,1,medium,History
Which planet has rings around it?,Mars,Jupiter,Saturn,Venus,2,easy,Science
What is 144 divided by 12?,10,11,12,13,2,easy,Math
What is the currency of Japan?,Won,Yuan,Yen,Baht,2,easy,Economics
Who painted the Sistine Chapel ceiling?,Da Vinci,Michelangelo,Raphael,Botticelli,1,medium,Art
What is the freezing point of water in Celsius?,-10,0,10,32,1,easy,Science
How many months have 31 days?,5,6,7,8,2,easy,Math
What is the tallest mountain in the world?,K2,Everest,Kilimanjaro,Denali,1,easy,Geography
What does CPU stand for?,Central Processing Unit,Computer Personal Unit,Central Program Utility,Core Processing Unit,0,medium,Technology
What is the atomic number of Hydrogen?,1,2,3,4,0,medium,Chemistry
Who discovered electricity?,Newton,Franklin,Edison,Tesla,1,medium,Science
What is the largest mammal on land?,Elephant,Hippo,Rhino,Giraffe,0,easy,Animals
What is 17 + 28?,43,44,45,46,2,easy,Math
What is the capital of Germany?,Munich,Berlin,Frankfurt,Hamburg,1,easy,Geography
How many players are on a soccer team?,9,10,11,12,2,easy,Sports
What is the chemical formula for salt?,NaO,NaCl,NaCO,NaH,1,medium,Chemistry
Who wrote The Iliad?,Homer,Virgil,Sophocles,Plato,0,medium,Literature
What is the speed of sound approximately?,300 m/s,343 m/s,400 m/s,500 m/s,1,hard,Physics
How many bones in the human skull?,8,22,29,33,1,medium,Biology
What is the capital of South Africa?,Johannesburg,Cape Town,Pretoria,Durban,2,hard,Geography
What is the square of 15?,200,215,225,250,2,easy,Math
Which ocean is the deepest?,Atlantic,Pacific,Indian,Arctic,1,medium,Geography
